Rank	Title	Distributor	Revenue £m	Year
1	Avengers: Infinity War	Walt Disney	66.7	2019
2	Mamma Mia: Here We Go Again!	Universal	60.7	2019
3	Incredibles 2	Walt Disney	52.2	2019
4	Black Panther	Walt Disney	47.8	2019
5	Bohemian Rhapsody	20th Century Fox	44.7	2019
6	Jurassic World: Fallen Kingdom	Universal	38.7	2019
7	Peter Rabbit	Sony	38	2019
8	The Greatest Showman	20th Century Fox	37.8	2019
9	Fantastic Beasts: The Crimes Of Grindelwald	Warner Bros	31.3	2019
10	Deadpool 2	20th Century Fox	30.6	2019
